participant,log_duration,log_condition,advicecode,handed,observers,exclude,exclude kind,exclude_why,throw1,throw2,throw3,throw4,throw5,throw6,throw7,throw8,throw9,throw10,throw11,throw12,condition,playedbefore,playedyearsago,playedoften_txt,playedoften_num,adv_helpf,advice_imp,useadvice,english,age,gender
180,3:21,0,0,Right,0,,,,5.875,3.975,4.4,2,4.675,5.2,2.225,1.725,5.2,4.225,3.425,4.125,no advice,no,0,,,,,,no,31,male
181,3:23,0,0,Right,0,,,,7.525,-99,7.125,-99,-99,7.625,3.2,-99,5.85,3.85,1.1,4.475,no advice,yes,20,every few years,1,,,,yes,31,male
182,3:31,0,0,Right,0,,,,5.225,5.075,6.05,0.5,3,1.175,0.975,6.65,1.4,3.45,4.975,4.8,no advice,yes,20,every few years,1,,,,yes,47,female
183,3:35,1,117,Right,0,,,,-99,2.225,5.65,4.725,1.3,3,5.625,1.75,1.8,1.2,-99,2.375,advice,yes,30,every few years,1,4,6.5,yes,yes,53,male
184,3:38,0,0,Right,0,,,,3.725,7.775,7.1,0.825,5.3,4.6,5.325,5.55,2.15,4.075,1.35,6.05,no advice,no,,,,,,,yes,51,female
186,3:47,0,0,Right,0,,,,4.5,1.25,2.1,3.2,2.925,2.1,1.5,3.75,2.8,1.175,0.375,2.325,no advice,yes,12,every few years,1,,,,yes,20,male
187,3:50,1,80,Right,0,,,,3.45,2.35,1.6,-99,2.325,-99,1.825,1.575,2.5,1.475,2.825,4.6,advice,yes,15,every few years,1,3,1.4,no,yes,28,male
188,3:55,0,0,Right,0,,,,1.75,4.475,3.675,2.425,3.225,3.75,3.1,1.775,2.2,0.9,1.25,1.75,no advice,yes,40,every few years,1,,,,yes,47,male
191,2:38,1,53,Right,0,,,,3.8,-99,3.975,-99,-99,-99,5.525,4.2,3.7,6.925,3.95,4,advice,yes,16,every few years,1,4,6.1,yes,yes,21,male
192,2:41,1,89,Left,0,,,,3.775,3.8,2.65,1.6,4.05,5.775,1.4,4.975,2.975,5,1.075,4.475,advice,yes,10,a few times a year,2,4,6.3,yes,yes,24,male
193,2:46,1,106,Right,0,,,,3.375,5.625,3.525,4.575,1.35,3.65,4.825,3.375,3.05,1.6,4.05,2.925,advice,yes,33,every few years,1,4,3.8,yes,,,
195,5:19,1,82,Right,0,,,,1.625,1.2,2.225,1.2,2.2,1.9,0.725,1.8,3.325,1.6,1.8,3.725,advice,yes,20,a few times a year,2,3,0.6,unsure,yes,30,male
197,3:25,1,58,Right,0,,,,7.5,-99,-99,-99,-99,1.775,4.3,-99,4.3,4.9,4.275,3.775,advice,yes,5,every few years,1,4,6.4,unsure,no,33,female
198,3:31,1,88,Right,0,,,,6.35,-99,6.675,-99,6.525,1.75,7.5,1.725,-99,7.525,5.6,6.7,advice,yes,6,every few years,1,4,6,yes,no,36,female
199,2:03,1,104,Right,0,,,,3.75,2.4,1.825,1.8,1.725,6.025,0.05,1,1.225,1.95,1.4,5.125,advice,yes,2,a few times a year,2,4,5.8,yes,yes,23,male
200,2:09,1,107,Right,0,,,,1.55,3.575,1.6,1.25,0.85,2.625,5.475,4.7,0.6,2.5,1.7,3.2,advice,yes,1,every few years,1,3,0.7,yes,yes,19,male
201,2:14,1,54,Right,0,,,,2.175,1.275,4.925,-99,-99,4.65,5.475,3.675,6.6,-99,2.55,4.9,advice,no,,,,5,4.8,yes,yes,25,male
202,2:21,1,15,Right,0,,,,7.025,-99,7.575,1.9,-99,6.5,5.325,1,2.925,4.725,5.45,7.375,advice,no,,,,4,6.3,yes,no,23,male
203,2:23,1,99,Right,0,,,,-99,-99,-99,-99,-99,-99,-99,7.225,-99,-99,-99,-99,advice,no,,,,4,1.4,unsure,no,25,female
204,2:27,0,0,Right,0,,,,-99,2.925,1.35,1.475,4.275,1.025,1.55,4.5,2.9,3.1,4.975,1.7,no advice,yes,7,a few times a year,2,,,,no,22,male
205,2:31,1,90,Right,0,,,,-99,6.125,3.875,4.8,-99,-99,-99,-99,6.175,-99,-99,4.65,advice,no,,,,4,1.5,unsure,yes,18,female
206,2:37,0,0,Right,0,,,,4.675,3.15,5.725,3.1,5.575,6.425,-99,-99,2.125,6.6,4.2,1.8,no advice,no,,,,,,,yes,19,male
208,2:52,1,56,Right,0,,,,7.025,4.475,4.3,5.5,7.375,-99,4.025,3.375,5.25,5.725,4.2,3.075,no advice,yes,3,every few years,1,,,,yes,22,male
209,3:07,1,118,Right,0,,,,5.7,0.4,0.275,3.175,1.825,3.25,2.95,4,0.325,5.325,1.3,0.75,advice,yes,30,every few years,1,3,0,unsure,yes,47,male
210,3:10,0,0,Right,0,,,,3.2,4.7,7.775,4.425,8,3.65,5.95,3.2,7.4,2.85,3.1,5.325,no advice,yes,20,a few times a year,2,,,,yes,43,female
211,3:15,1,67,Right,0,,,,4.375,6.65,3.5,3.025,3.15,4.85,1.2,3,5.8,1.275,4.05,2.15,advice,yes,25,every few years,1,4,4.7,unsure,yes,38,female
212,3:20,0,0,Right,0,,,,6.125,5,2.65,4.1,4.075,1,5.425,1.4,2.775,1.4,5.4,2,no advice,no,,,,,,,yes,20,female
213,3:23,0,0,Right,0,,,,0.05,3.9,1.7,3.425,1.775,1.925,5.75,2.45,0.5,3.825,4.95,3.225,no advice,yes,3,every few years,1,,,,yes,22,male
214,3:26,1,98,Right,0,,,,6.975,4.3,3.925,1,1.35,5.975,7.725,6.625,4.9,1.8,6.175,0.325,advice,no,,,,4,4.9,yes,yes,22,male
216,2:16,0,0,Right,0,,,,-99,-99,3.8,7.5,5.225,4.775,2.9,3.9,4.4,1.75,-99,4.3,no advice,no,,,,,,,yes,53,female
217,2:19,0,0,Right,0,,,,6.5,5.525,7.15,1.5,3.7,2.825,5.6,1.4,3.1,2.05,2.3,2.5,no advice,yes,1,every few years,1,,,,yes,23,male
218,2:24,0,0,Right,0,,,,1.55,4.55,4.15,-99,7.975,1.1,4.3,4,3.025,3,3.55,1.2,no advice,no,,,,,,,yes,45,female
219,2:24,0,0,Right,0,,,,3.95,2.5,1.5,3.725,1.65,2.5,3.425,1.7,2.825,4.5,4.45,2.925,no advice,no,,,,,,,yes,21,male
220,2:32,0,0,Right,0,,,,4.975,7.4,1.9,-99,2.575,5,4.25,4,4.65,1.675,2.5,2.725,no advice,no,,,,,,,no,36,male
221,2:38,1,8,Right,0,,,,-99,8.825,4.05,2.5,6.125,1.7,7.5,1.9,7.6,5.525,7.325,6,advice,yes,3,every few years,1,4,3.5,yes,,,
222,2:41,0,0,Right,0,,,,7.5,6.325,7.4,0.925,1.25,0.5,5,1.5,5.6,2.525,2.525,4.55,no advice,yes,10,every few years,1,,,,yes,19,male
223,2:44,1,116,Right,0,,,,4.7,2.2,1,3.625,0.975,2.15,1.775,0.05,0.975,2.625,1.325,4.9,advice,yes,20,every few years,1,4,5.8,yes,no,47,male
224,2:46,0,0,Right,0,,,,6.4,2.9,2.5,2.05,2.1,1.5,-99,4.1,2.35,2.75,1.525,1.3,no advice,yes,10,every few years,1,,,,no,21,male
225,2:44,1,83,Right,0,,,,-99,4.025,5.625,-99,-99,-99,-99,1.6,-99,-99,4.2,5.9,advice,no,,,,3,6.5,yes,yes,34,female
226,3:02,1,71,Right,0,,,,6.6,1.425,4.125,2.575,-99,-99,3.225,2.025,5.025,-99,-99,-99,advice,yes,5,every few years,1,1,0.3,no,yes,27,female
227,3:14,1,93,Right,0,,,,4.375,1.85,2.375,2.5,3,2.275,2.7,4.3,0.85,0.475,2.7,1.25,advice,yes,5,a few times a month,3,5,6.8,yes,yes,24,male
228,3:16,1,124,Left,0,,,,7.575,6.6,-99,5.6,5.625,2.1,0.525,6.425,0.65,0.65,6.575,5.425,advice,no,,every few years,1,5,4,yes,yes,25,female
229,3:18,0,0,Right,0,,,,6.65,3.7,-99,-99,7.5,2.6,3.9,1.55,4.325,1.425,3.325,-99,no advice,no,,,,,,,no,23,male
230,3:32,1,69,Right,0,,,,-99,-99,6.775,-99,6.05,4.05,-99,-99,2.65,8.4,-99,1.4,advice,yes,8,,,5,6.5,yes,yes,27,male
